unique_key,mean_compound,max_compound,min_compound,mean_positive,max_positive,min_positive,mean_negative,max_negative,min_negative,mean_neutral,max_neutral,min_neutral
MS2022-03-26,-0.033174999999999996,0.4019,-0.5346,0.0185,0.074,0.0,0.0395,0.158,0.0,0.942,1.0,0.842
MS2022-03-27,0.5895,0.9153,0.0516,0.19499999999999998,0.283,0.079,0.024333333333333332,0.073,0.0,0.7803333333333334,0.847,0.717
MS2022-03-28,-0.38585,0.0,-0.7717,0.0,0.0,0.0,0.111,0.222,0.0,0.889,1.0,0.778
MS2022-03-29,-0.060975000000000015,0.5267,-0.7964,0.043,0.096,0.0,0.0625,0.177,0.0,0.8945,1.0,0.823
MS2022-03-30,0.47245000000000004,0.4927,0.4522,0.0875,0.088,0.087,0.0,0.0,0.0,0.9125000000000001,0.913,0.912
MS2022-03-31,-0.08463333333333334,0.0,-0.2023,0.041,0.083,0.0,0.058666666666666666,0.112,0.0,0.9003333333333333,1.0,0.805
MS2022-04-01,0.1342,0.6059,-0.8573,0.126,0.17,0.068,0.0975,0.263,0.0,0.7765,0.882,0.669
MS2022-04-02,-0.468,0.0,-0.936,0.024,0.048,0.0,0.1805,0.361,0.0,0.7955,1.0,0.591
MS2022-04-04,0.157525,0.7096,-0.0795,0.07625,0.134,0.0,0.037500000000000006,0.101,0.0,0.886,1.0,0.805
MS2022-04-05,0.06782,0.7003,-0.3612,0.027800000000000002,0.139,0.0,0.020200000000000003,0.07,0.0,0.952,1.0,0.83
MS2022-04-06,0.1252,0.4767,-0.2263,0.0665,0.084,0.049,0.0665,0.101,0.032,0.867,0.885,0.849
MS2022-04-07,0.70645,0.8555,0.5574,0.184,0.264,0.104,0.0,0.0,0.0,0.8160000000000001,0.896,0.736
MS2022-04-08,0.028400000000000005,0.6908,-0.6908,0.072,0.147,0.0,0.06433333333333334,0.149,0.0,0.8636666666666667,0.947,0.812
MS2022-04-09,0.4404,0.4404,0.4404,0.088,0.088,0.088,0.0,0.0,0.0,0.912,0.912,0.912
MS2022-04-10,-0.8625,-0.8625,-0.8625,0.0,0.0,0.0,0.217,0.217,0.217,0.783,0.783,0.783
MS2022-04-11,0.044966666666666676,0.4284,-0.4215,0.05833333333333333,0.13,0.0,0.046000000000000006,0.08,0.0,0.8959999999999999,0.955,0.813
MS2022-04-12,0.37648000000000004,0.8402,-0.3544,0.1236,0.186,0.06,0.0312,0.097,0.0,0.8452,0.88,0.814
MS2022-04-14,0.5211749999999999,0.8481,0.3182,0.12525,0.242,0.071,0.0,0.0,0.0,0.87475,0.929,0.758
MS2022-04-15,0.3612,0.3612,0.3612,0.068,0.068,0.068,0.0,0.0,0.0,0.932,0.932,0.932
MSFT2022-03-15,-0.44094999999999995,-0.296,-0.5859,0.037,0.074,0.0,0.122,0.191,0.053,0.841,0.947,0.735
MSFT2022-03-17,-0.34413333333333335,-0.296,-0.4404,0.016,0.048,0.0,0.08233333333333333,0.106,0.066,0.9016666666666667,0.934,0.846
MSFT2022-03-18,0.11371666666666665,0.8462,-0.7003,0.08066666666666666,0.256,0.0,0.043333333333333335,0.149,0.0,0.8758333333333334,1.0,0.709
MSFT2022-03-20,0.6536,0.7269,0.5803,0.20900000000000002,0.215,0.203,0.0695,0.082,0.057,0.7215,0.74,0.703
MSFT2022-03-21,0.3189,0.765,0.0,0.07475,0.197,0.0,0.0,0.0,0.0,0.92525,1.0,0.803
MSFT2022-03-22,0.1858,0.5574,0.0,0.04066666666666666,0.122,0.0,0.0,0.0,0.0,0.9593333333333334,1.0,0.878
MSFT2022-03-23,0.25746,0.8225,-0.1779,0.08320000000000001,0.229,0.0,0.0174,0.087,0.0,0.8994,1.0,0.771
MSFT2022-03-24,-0.2679333333333333,0.0,-0.4019,0.0,0.0,0.0,0.052,0.078,0.0,0.9480000000000001,1.0,0.922
MSFT2022-03-26,0.6078749999999999,0.8519,0.5106,0.1595,0.295,0.084,0.014,0.056,0.0,0.8265,0.916,0.705
MSFT2022-03-28,-0.29635,0.0,-0.5927,0.0,0.0,0.0,0.0485,0.097,0.0,0.9515,1.0,0.903
MSFT2022-03-29,0.15303333333333333,0.7579,-0.3612,0.0675,0.173,0.0,0.03233333333333333,0.151,0.0,0.9,1.0,0.767
MSFT2022-03-30,0.16895,0.7783,-0.4404,0.0925,0.185,0.0,0.0365,0.073,0.0,0.871,0.927,0.815
MSFT2022-03-31,-0.05595,0.4215,-0.5927,0.09166666666666667,0.483,0.0,0.03316666666666667,0.102,0.0,0.8751666666666668,1.0,0.517
MSFT2022-04-01,-0.05507500000000001,0.296,-0.7096,0.06075,0.068,0.055,0.06575,0.194,0.0,0.8732500000000001,0.936,0.749
MSFT2022-04-02,0.4404,0.4404,0.4404,0.106,0.106,0.106,0.0,0.0,0.0,0.894,0.894,0.894
MSFT2022-04-03,0.311,0.8268,-0.6207,0.13933333333333334,0.254,0.0,0.06166666666666667,0.123,0.0,0.799,0.877,0.684
MSFT2022-04-04,0.6914,0.7579,0.6249,0.1895,0.205,0.174,0.0,0.0,0.0,0.8105,0.826,0.795
MSFT2022-04-05,-0.028483333333333322,0.745,-0.5719,0.051,0.165,0.0,0.05216666666666667,0.113,0.0,0.8969999999999999,1.0,0.809
MSFT2022-04-06,0.28426666666666667,0.5346,0.0,0.07366666666666667,0.154,0.0,0.0,0.0,0.0,0.9263333333333333,1.0,0.846
MSFT2022-04-07,0.18056666666666668,0.6187,-0.128,0.0405,0.136,0.0,0.0075,0.045,0.0,0.952,1.0,0.864
MSFT2022-04-08,0.6131333333333333,0.836,0.4767,0.13833333333333334,0.242,0.077,0.0,0.0,0.0,0.8616666666666667,0.923,0.758
MSFT2022-04-09,0.10115,0.2023,0.0,0.0455,0.091,0.0,0.0,0.0,0.0,0.9545,1.0,0.909
MSFT2022-04-10,0.5828,0.8176,0.4215,0.13366666666666668,0.247,0.072,0.0,0.0,0.0,0.8663333333333334,0.928,0.753
MSFT2022-04-11,0.4256,0.6249,0.2263,0.104,0.154,0.054,0.0,0.0,0.0,0.8959999999999999,0.946,0.846
MSFT2022-04-12,0.0799,0.4767,-0.34,0.0524,0.141,0.0,0.0408,0.085,0.0,0.9067999999999999,1.0,0.797
MSFT2022-04-13,0.161325,0.5719,-0.1027,0.09075,0.141,0.0,0.0485,0.103,0.0,0.8605,1.0,0.767
MSFT2022-04-14,-0.0517,0.6249,-0.5994,0.041999999999999996,0.164,0.0,0.0398,0.129,0.0,0.9182,1.0,0.836
MSFT2022-04-15,0.16849999999999998,0.5267,-0.2235,0.07233333333333332,0.172,0.0,0.048999999999999995,0.094,0.0,0.8786666666666667,0.955,0.734
NEE2022-03-14,0.166,0.6124,0.0,0.0465,0.122,0.0,0.01475,0.059,0.0,0.9385,1.0,0.876
NEE2022-03-15,-0.27826,0.0,-0.5859,0.023,0.059,0.0,0.07680000000000001,0.13,0.0,0.9002000000000001,1.0,0.847
NEE2022-03-16,0.6576,0.6997,0.6155,0.14350000000000002,0.157,0.13,0.0,0.0,0.0,0.8565,0.87,0.843
NEE2022-03-17,-0.52295,-0.1027,-0.9432,0.039,0.078,0.0,0.20350000000000001,0.319,0.088,0.757,0.833,0.681
NEE2022-03-18,-0.24618333333333334,0.6124,-0.8225,0.02383333333333333,0.143,0.0,0.07833333333333332,0.192,0.0,0.8978333333333334,1.0,0.808
NEE2022-03-19,0.6369,0.6369,0.6369,0.144,0.144,0.144,0.0,0.0,0.0,0.856,0.856,0.856
NEE2022-03-21,0.10805000000000001,0.7003,-0.7269,0.088,0.214,0.0,0.061500000000000006,0.164,0.0,0.85075,1.0,0.705
NEE2022-03-22,-0.45366666666666666,0.1511,-0.9558,0.025333333333333333,0.076,0.0,0.18099999999999997,0.367,0.06,0.7936666666666667,0.884,0.633
NEE2022-03-23,0.10122500000000001,0.9231,-0.8442,0.121625,0.3,0.0,0.089375,0.219,0.0,0.788875,1.0,0.571
NEE2022-03-24,0.12625714285714287,0.8176,-0.6557,0.124,0.229,0.0,0.10542857142857143,0.223,0.049,0.7705714285714286,0.876,0.657
NEE2022-03-25,-0.02495,0.128,-0.1779,0.0365,0.073,0.0,0.056999999999999995,0.06,0.054,0.9059999999999999,0.946,0.866
NEE2022-03-26,-0.0958,0.2732,-0.4648,0.029,0.058,0.0,0.046,0.092,0.0,0.925,0.942,0.908
NEE2022-03-27,0.14009090909090907,0.8316,-0.6523,0.11081818181818183,0.292,0.0,0.08454545454545455,0.151,0.0,0.8046363636363637,1.0,0.652
NEE2022-03-29,0.12053333333333333,0.6249,-0.5574,0.118,0.183,0.0,0.09000000000000001,0.113,0.053,0.7919999999999999,0.896,0.717
NEE2022-03-30,0.3593,0.4215,0.2732,0.06733333333333334,0.078,0.058,0.0,0.0,0.0,0.9326666666666666,0.942,0.922
NEE2022-03-31,0.11937500000000001,0.6486,-0.6808,0.12275000000000001,0.191,0.057,0.10200000000000001,0.186,0.061,0.77475,0.841,0.731
NEE2022-04-01,0.15883333333333335,0.8847,-0.4082,0.13433333333333333,0.25,0.0,0.071,0.213,0.0,0.7946666666666666,1.0,0.634
NEE2022-04-04,0.2732,0.2732,0.2732,0.062,0.062,0.062,0.0,0.0,0.0,0.938,0.938,0.938
NEE2022-04-05,0.64515,0.7184,0.5719,0.1375,0.14,0.135,0.0,0.0,0.0,0.8625,0.865,0.86
NEE2022-04-06,0.08677499999999999,0.6249,-0.7717,0.07025,0.154,0.0,0.047,0.188,0.0,0.88275,1.0,0.812
