unique_key,sma,ema,mom,adx,natr,linreg,httrend,rsi,typprice,mfi,adosc,domcycle,dom_cyc_phs
UPS2021-12-27,196.8289035373264,200.6060653315728,22.12579345703125,,2.53090005414269,208.89946676214683,1,56.011186066678235,213.9227549235026,53.73438236073659,-8532318.490395784,18.801315911662442,206.78520305066155
UPS2021-12-28,197.0780822753906,200.8813462617855,22.42608642578125,,2.521303523128864,209.47599571144187,1,55.88805261139827,214.3371124267578,54.671166925804606,-7939036.305670857,18.37452690686091,201.9677755335633
UPS2021-12-29,197.32418348524305,201.14883185862467,22.14910888671875,6.59605707808392,2.5109520992404684,210.0370147406982,1,55.86495251160398,214.40064493815103,55.42270457916856,-7562274.546067715,18.008559068863036,176.33001592319573
UPS2021-12-30,197.56519724527996,201.39516477096518,21.691238403320312,6.625274864958041,2.5067185711139315,210.54616057567105,1,55.66134000158254,213.79565938313803,54.689285424946156,-7278764.516440868,17.693111409701388,161.3093833414162
UPS2021-12-31,197.80810089111327,201.64568440200767,21.861328125,6.645072266931455,2.4929926865455516,211.06443750849573,1,55.76382149147029,213.31793721516928,54.670842048613935,-6715869.04740119,17.459417845420106,155.9286936214509
UPS2022-01-03,198.04612935384114,201.87236978624412,21.422561645507812,6.6585241313798,2.5000494062781544,211.5214642199841,1,55.51610361699466,212.82661946614584,54.448649790996086,-6276551.083109975,17.3280276269238,163.76816303428504
UPS2022-01-04,198.33156314425997,202.17676866832443,25.689041137695312,6.689724095575139,2.4636595725074537,212.11607287433705,1,56.39980481984554,215.99417622884116,55.475788980252936,-5666712.5792787075,17.2436418114131,172.20388982203843
UPS2022-01-05,198.5765643649631,202.41491050616432,22.05010986328125,6.72057739350164,2.486896890308858,212.59402598100414,1,55.59532261918223,215.07073974609375,54.42151538008571,-6318723.811781883,17.145327188966416,183.19692577224487
UPS2022-01-06,198.8367167154948,202.69320312650015,23.413711547851562,6.744692821478572,2.456925665468874,213.16167690850003,1,56.07802225725925,215.1790771484375,54.578583011671654,-6064810.85415113,17.021064138158195,193.27668711948832
UPS2022-01-07,199.09585367838542,202.9985449904138,23.32232666015625,6.782379018472998,2.4351312208451636,213.8137024037567,1,56.4280368176225,217.07208251953125,54.68957113696176,-5736924.872214079,16.957934984307524,200.34371591154542
UPS2022-01-10,199.275609503852,203.15687667675084,16.178024291992188,6.787206620029274,2.516197416788201,214.18650611812234,1,54.56782796230905,212.68087768554688,53.533848615265875,-6101029.945865512,17.071429898329214,209.21775220310514
UPS2022-01-11,199.4306427001953,203.30169161618267,13.952987670898438,6.774288285018731,2.5119864041069655,214.5667922694168,1,54.438000490310515,209.7619832356771,52.71457491334133,-5703176.457605839,17.3906211013242,220.8638670614816
UPS2022-01-12,199.5944546169705,203.44223289011444,14.743072509765625,6.773387838155382,2.504342963365707,214.91602625212244,1,54.42376858962557,211.08544413248697,53.44021940948066,-5758222.9681499,17.765747490601424,228.23734114264357
UPS2022-01-13,199.7695320977105,203.5633208804459,15.756973266601562,6.773586469962011,2.5063125152386725,215.18283492799787,0,54.20879157498521,210.840576171875,53.50565034992941,-6145878.804512024,18.10454890218748,243.35808353751105
UPS2022-01-14,199.91212446424697,203.59599689067133,12.83331298828125,6.743550544736671,2.5454569633317825,215.24581814534207,1,53.09740506007693,206.57002766927084,53.59559005876897,-6507489.282653928,18.508305393750327,252.76246751927212
UPS2022-01-18,200.105268351237,203.60722626876097,17.382949829101562,6.687622893843343,2.5534658397462837,215.13611119308752,1,52.832628320387755,203.8856404622396,53.84022592937164,-5954730.432838321,18.99599420002463,270.18466782562916
UPS2022-01-19,200.23157433403864,203.5782791115406,11.367538452148438,6.639859968356817,2.568589455409692,215.02755608005543,1,52.32436122909833,204.33337910970053,53.596541069749506,-6062976.81713891,19.666579333969967,279.6229813272819
UPS2022-01-20,200.32926093207465,203.51789351025246,8.791793823242188,6.583830732920559,2.585506592822287,214.87168793358063,1,51.91863696042933,203.31024678548178,52.78147605413551,-6383879.484251142,20.809797695708692,287.6801997738907
UPS2022-01-21,200.46029849582249,203.4514166106882,11.793380737304688,6.5173527605803,2.5840266171780786,214.62042161804123,1,51.82465002320817,201.8110605875651,52.60523628806302,-6715836.228135824,22.248243614339422,294.6263856168453
UPS2022-01-24,200.58969811333552,203.43396725008242,11.645965576171875,6.464286581025084,2.574793326105766,214.50649088019998,1,52.38355951865964,201.25582377115884,51.43531276500855,-5666892.693003058,22.901040138642138,301.61263993723753
UPS2022-01-25,200.69911092122396,203.3691165656498,9.847152709960938,6.411810025687147,2.609045650349781,214.28064743992172,1,51.77337063387626,200.40108235677084,50.277343916495965,-4675526.557219863,23.19710969245372,-44.23249286272744
UPS2022-01-26,200.80836435953776,203.24154188033418,9.832809448242188,6.343778967579005,2.667777699034704,213.85546083555118,1,50.967405667951624,200.27482096354166,50.53949083600855,-4746816.846459627,23.603651722651072,-39.151076984086046
UPS2022-01-27,200.87864396837023,203.0257840488296,6.325164794921875,6.297220138924037,2.739521689922984,213.22805741045792,1,49.854260204343994,196.36152140299478,50.32177403444757,-5552951.444894671,24.11970699000861,-28.80974099241712
UPS2022-01-28,200.98291727701823,202.88939066872138,9.384597778320312,6.258480030155864,2.6940186302183697,212.75190032847198,1,50.74641534114805,195.96996561686197,49.19049444657906,-4934503.310104132,24.487446835662674,-20.366338899324546
UPS2022-01-31,201.17950015597873,202.84240026973077,17.692459106445312,6.193584831882291,2.6432953737643055,212.34346491588923,1,51.75152403193195,200.0437774658203,50.984808131438406,-3674907.4808135033,24.7988188128578,-16.718544978046793
UPS2022-02-01,201.67388916015625,203.41786100330725,44.49501037597656,6.288340980671176,2.4511679591964266,213.19071087400553,0,57.986816950889484,228.251953125,54.69506322689871,-1619004.799893856,25.47728933402734,-2.7200981532251376
UPS2022-02-02,202.17044084337022,204.01165797398062,44.68965148925781,6.382044283362408,2.440975622993804,214.09398557409114,1,58.258799006499274,229.48187255859375,55.40930109867318,123164.99436545372,26.739337995088533,7.490415148671445
UPS2022-02-03,202.64221920437282,204.5177819407484,42.460052490234375,6.474706438245959,2.4742259300952187,214.79019968407786,1,57.35450227555633,228.82009887695312,54.92933582175558,-375275.5349955559,27.41300676038832,28.825492973845233
UPS2022-02-04,203.07185499403212,204.92768621707637,38.66722106933594,6.539490391946855,2.5135804447177987,215.2843044108669,1,56.34593653912403,224.63614400227866,54.68258090425285,-1580978.2283643484,27.23751991309636,48.61823494286743
UPS2022-02-07,203.52664201524522,205.33447284222046,40.93083190917969,6.595102103508921,2.5125565421136513,215.71745274209567,1,56.399612056084806,224.1754913330078,54.39256247462937,-2317349.697505474,27.81790215281631,61.41766841285252
UPS2022-02-08,204.01195187038846,205.7353738780113,43.677886962890625,6.650095907164742,2.499892254517876,216.06873377612516,1,56.42770437600244,224.42515563964844,55.46376226817744,-3070119.080355644,29.163634634532855,72.10779535621495
UPS2022-02-09,204.50252363416882,206.1246274440509,44.151458740234375,6.722921580016826,2.507230629243109,216.368983166966,1,56.39358693474266,226.13214111328125,56.43224600042293,-4048767.84133327,29.37058314460131,85.75709444261868
UPS2022-02-10,204.9783679538303,206.4095383514447,42.82598876953125,6.762411142738864,2.553190361539304,216.37897914937707,1,55.25275000982344,220.8193613688151,56.30570572460671,-5237355.604955673,28.860396082342525,98.63217043312396
UPS2022-02-11,205.36117892795139,206.53130566617943,34.45298767089844,6.759879606344635,2.6578731212317708,216.0730220286983,1,53.46152219141484,215.1099853515625,55.08341547426377,-6505731.0604400635,28.551033479511595,110.91308664138863
UPS2022-02-14,205.73819936116536,206.66130664269542,33.93183898925781,6.755167651307943,2.6389883630488162,215.78613530532783,1,53.56737916173366,213.03211466471353,53.97994535707542,-7067466.513897181,27.735599040728296,128.41867410222926
UPS2022-02-15,206.14141184488932,206.8597998818326,36.28912353515625,6.772874625317433,2.6065694531230523,215.6360542716561,0,54.25550783141193,216.9542490641276,54.171131277905694,-7660577.5347777605,26.621235130519423,147.60744952042924
UPS2022-02-16,206.5023679945204,207.01138275648927,32.486053466796875,6.777838486699182,2.624291266847909,215.416256840558,0,53.77492729046468,215.082275390625,53.267787504574784,-7834243.706191778,25.51442411647696,168.49311493491504
UPS2022-02-17,206.8317910088433,207.05926450780612,29.6480712890625,6.761558866912173,2.676325773071317,214.93461747873977,0,52.66217601601772,211.08333333333334,53.003938061851215,-8294504.012411714,24.459833463373855,195.90282109524827
UPS2022-02-18,207.16035868326824,207.1098301364335,29.571090698242188,6.733502031432083,2.662271943597432,214.44417726845094,0,52.69902041046763,209.2733357747396,52.890337289870395,-7659220.140865326,23.428657000371526,217.01501299805477
UPS2022-02-22,207.4618713378906,207.15071301740645,27.136138916015625,6.7009234232243164,2.6582348320484908,213.9604690495865,0,52.6040355515931,208.7300008138021,51.58092324291007,-6492942.013827562,22.477687687732548,238.6208672695381
UPS2022-02-23,207.63270619710286,207.09201593411265,15.375137329101562,6.6550427837872235,2.723316097982722,213.4221921480619,1,51.52288186427321,206.5366668701172,50.33855289825529,-6245529.666336417,21.647392712205132,254.29011295876424
UPS2022-02-24,207.8080766465929,207.0941694837235,15.783340454101562,6.582378547077927,2.7027186544289195,213.0422619904645,1,52.12345673280314,204.55333455403647,49.15883428604674,-4570112.469296932,20.934905075079953,280.4491807750868
UPS2022-02-25,208.0180653889974,207.15693492250415,18.89898681640625,6.531988393171819,2.6625328879155266,212.76351002004992,1,52.72662340720073,209.4699961344401,49.26192739323867,-3211318.2597153187,20.33774847045591,312.79818594411165
UPS2022-02-28,208.2288857354058,207.2286505982501,18.973831176757812,6.469900124710507,2.6608101816516028,212.50023852151537,1,52.82896054570707,208.62999471028647,48.94361329187749,-1417821.8524905443,19.87319389278916,-23.31641274038236
UPS2022-03-01,208.3696824815538,207.19241655941065,12.671707153320312,6.404568661667982,2.7300538978373132,212.0439933432182,1,51.6642832635897,206.65999857584634,48.04983592009129,-1006601.9884352684,19.553217693769554,1.1619993711296956
UPS2022-03-02,208.53003980848524,207.28620974961848,14.432159423828125,6.354191269790105,2.665581980888892,211.92703633104634,1,52.938903293378225,210.19000244140625,48.05733465342776,-293382.11467528343,19.359426667741136,24.94962615205824
